address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
V/l Buell,Newstead,NY,10001,49000,NA,NA,NA,2,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/V-l-Buell-Newstead-NY-10001/2089629334_zpid/
263 9th Ave # PHD,New York,NY,10001,4495000,2250.0,3.0,2.0,1,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/263-9th-Ave-PHD-New-York-NY-10001/2103425273_zpid/
315 7th Ave APT 21C,NEW YORK,NY,10001,1625000,1000.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/315-7th-Ave-APT-21C-New-York-NY-10001/31503968_zpid/
252 7th Ave APT 4L,NEW YORK,NY,10001,1529000,980.0,0.0,1.0,2,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-7th-Ave-APT-4L-New-York-NY-10001/55501383_zpid/
150 W 26th St APT 201,NEW YORK,NY,10001,1950000,1600.0,1.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/150-W-26th-St-APT-201-New-York-NY-10001/60147930_zpid/
133 W 28th St APT 6-C,New York,NY,10001,1550000,1300.0,2.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/133-W-28th-St-APT-6-C-New-York-NY-10001/79496201_zpid/
522 W 29th St # 4D,New York,NY,10001,3300000,1255.0,2.0,2.0,9,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/522-W-29th-St-4D-New-York-NY-10001/2105595161_zpid/
150 W 26th St APT 802,NEW YORK,NY,10001,2495000,1753.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/150-W-26th-St-APT-802-New-York-NY-10001/60147949_zpid/
252 7th Ave # PHI,New York,NY,10001,6495000,2400.0,3.0,3.0,7,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-7th-Ave-PHI-New-York-NY-10001/2100699091_zpid/
252 7th Ave APT 5P,NEW YORK,NY,10001,4350000,2203.0,2.0,3.0,7,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-7th-Ave-APT-5P-New-York-NY-10001/55501413_zpid/
